Ticker,Company,Industry
MMM,3M,Conglomerates
AOS,A. O. Smith,Specialty Industrial Machinery
ABT,Abbott Laboratories,Medical Devices
ABBV,AbbVie,Drug Manufacturers - General
ACN,Accenture,Information Technology Services
ADBE,Adobe Inc.,Software - Application
AMD,Advanced Micro Devices,Semiconductors
AES,AES Corporation,Utilities - Diversified
AFL,Aflac,Insurance - Life
A,Agilent Technologies,Diagnostics & Research
APD,Air Products,Specialty Chemicals
ABNB,Airbnb,Travel Services
AKAM,Akamai Technologies,Software - Infrastructure
ALB,Albemarle Corporation,Specialty Chemicals
ARE,Alexandria Real Estate Equities,REIT - Office
ALGN,Align Technology,Medical Instruments & Supplies
ALLE,Allegion,Security & Protection Services
LNT,Alliant Energy,Utilities - Regulated Electric
ALL,Allstate,Insurance - Property & Casualty
GOOGL,Alphabet Inc. (Class A),Internet Content & Information
GOOG,Alphabet Inc. (Class C),Internet Content & Information
MO,Altria,Tobacco
AMZN,Amazon,Internet Retail
AMCR,Amcor,Packaging & Containers
AEE,Ameren,Utilities - Regulated Electric
AEP,American Electric Power,Utilities - Regulated Electric
AXP,American Express,Credit Services
AIG,American International Group,Insurance - Diversified
AMT,American Tower,REIT - Specialty
AWK,American Water Works,Utilities - Regulated Water
AMP,Ameriprise Financial,Asset Management
AME,Ametek,Specialty Industrial Machinery
AMGN,Amgen,Drug Manufacturers - General
APH,Amphenol,Electronic Components
ADI,Analog Devices,Semiconductors
ANSS,Ansys,Software - Application
AON,Aon plc,Insurance Brokers
APA,APA Corporation,Oil & Gas E&P
APO,Apollo Global Management,Asset Management
AAPL,Apple Inc.,Consumer Electronics
AMAT,Applied Materials,Semiconductor Equipment & Materials
APTV,Aptiv,Auto Parts
ACGL,Arch Capital Group,Insurance - Diversified
ADM,Archer Daniels Midland,Farm Products
ANET,Arista Networks,Computer Hardware
AJG,Arthur J. Gallagher & Co.,Insurance Brokers
AIZ,Assurant,Insurance - Property & Casualty
T,AT&T,Telecom Services
ATO,Atmos Energy,Utilities - Regulated Gas
ADSK,Autodesk,Software - Application
ADP,Automatic Data Processing,Software - Application
AZO,AutoZone,Auto Parts
AVB,AvalonBay Communities,REIT - Residential
AVY,Avery Dennison,Packaging & Containers
AXON,Axon Enterprise,Aerospace & Defense
BKR,Baker Hughes,Oil & Gas Equipment & Services
BALL,Ball Corporation,Packaging & Containers
BAC,Bank of America,Banks - Diversified
BAX,Baxter International,Medical Instruments & Supplies
BDX,Becton Dickinson,Medical Instruments & Supplies
BRK.B,Berkshire Hathaway,N/A
BBY,Best Buy,Specialty Retail
TECH,Bio-Techne,Biotechnology
BIIB,Biogen,Drug Manufacturers - General
BLK,BlackRock,Asset Management
BX,Blackstone Inc.,Asset Management
BK,BNY Mellon,Banks - Diversified
BA,Boeing,Aerospace & Defense
BKNG,Booking Holdings,Travel Services
BSX,Boston Scientific,Medical Devices
BMY,Bristol Myers Squibb,Drug Manufacturers - General
AVGO,Broadcom,Semiconductors
BR,Broadridge Financial Solutions,Information Technology Services
BRO,Brown & Brown,Insurance Brokers
BF.B,Brown–Forman,N/A
BLDR,Builders FirstSource,Building Products & Equipment
BG,Bunge Global,Farm Products
BXP,"BXP, Inc.",REIT - Office
CHRW,C.H. Robinson,Integrated Freight & Logistics
CDNS,Cadence Design Systems,Software - Application
CZR,Caesars Entertainment,Resorts & Casinos
CPT,Camden Property Trust,REIT - Residential
CPB,Campbell's Company (The),Packaged Foods
COF,Capital One,Credit Services
CAH,Cardinal Health,Medical Distribution
KMX,CarMax,Auto & Truck Dealerships
CCL,Carnival,Travel Services
CARR,Carrier Global,Building Products & Equipment
CAT,Caterpillar Inc.,Farm & Heavy Construction Machinery
CBOE,Cboe Global Markets,Financial Data & Stock Exchanges
CBRE,CBRE Group,Real Estate Services
CDW,CDW Corporation,Information Technology Services
COR,Cencora,Medical Distribution
CNC,Centene Corporation,Healthcare Plans
CNP,CenterPoint Energy,Utilities - Regulated Electric
CF,CF Industries,Agricultural Inputs
CRL,Charles River Laboratories,Diagnostics & Research
SCHW,Charles Schwab Corporation,Capital Markets
CHTR,Charter Communications,Telecom Services
CVX,Chevron Corporation,Oil & Gas Integrated
CMG,Chipotle Mexican Grill,Restaurants
CB,Chubb Limited,Insurance - Property & Casualty
CHD,Church & Dwight,Household & Personal Products
CI,Cigna,Healthcare Plans
CINF,Cincinnati Financial,Insurance - Property & Casualty
CTAS,Cintas,Specialty Business Services
CSCO,Cisco,Communication Equipment
C,Citigroup,Banks - Diversified
CFG,Citizens Financial Group,Banks - Regional
CLX,Clorox,Household & Personal Products
CME,CME Group,Financial Data & Stock Exchanges
CMS,CMS Energy,Utilities - Regulated Electric
KO,Coca-Cola Company (The),Beverages - Non-Alcoholic
CTSH,Cognizant,Information Technology Services
COIN,Coinbase,Financial Data & Stock Exchanges
CL,Colgate-Palmolive,Household & Personal Products
CMCSA,Comcast,Telecom Services
CAG,Conagra Brands,Packaged Foods
COP,ConocoPhillips,Oil & Gas E&P
ED,Consolidated Edison,Utilities - Regulated Electric
STZ,Constellation Brands,Beverages - Brewers
CEG,Constellation Energy,Utilities - Renewable
COO,Cooper Companies (The),Medical Instruments & Supplies
CPRT,Copart,Specialty Business Services
GLW,Corning Inc.,Electronic Components
CPAY,Corpay,Software - Infrastructure
CTVA,Corteva,Agricultural Inputs
CSGP,CoStar Group,Real Estate Services
COST,Costco,Discount Stores
CTRA,Coterra,Oil & Gas E&P
CRWD,CrowdStrike,Software - Infrastructure
CCI,Crown Castle,REIT - Specialty
CSX,CSX Corporation,Railroads
CMI,Cummins,Specialty Industrial Machinery
CVS,CVS Health,Healthcare Plans
DHR,Danaher Corporation,Diagnostics & Research
DRI,Darden Restaurants,Restaurants
DVA,DaVita,Medical Care Facilities
DAY,Dayforce,Software - Application
DECK,Deckers Brands,Footwear & Accessories
DE,Deere & Company,Farm & Heavy Construction Machinery
DELL,Dell Technologies,Computer Hardware
DAL,Delta Air Lines,Airlines
DVN,Devon Energy,Oil & Gas E&P
DXCM,Dexcom,Medical Devices
FANG,Diamondback Energy,Oil & Gas E&P
DLR,Digital Realty,REIT - Specialty
DG,Dollar General,Discount Stores
DLTR,Dollar Tree,Discount Stores
D,Dominion Energy,Utilities - Regulated Electric
DPZ,Domino's,Restaurants
DASH,DoorDash,Internet Retail
DOV,Dover Corporation,Specialty Industrial Machinery
DOW,Dow Inc.,Chemicals
DHI,D. R. Horton,Residential Construction
DTE,DTE Energy,Utilities - Regulated Electric
DUK,Duke Energy,Utilities - Regulated Electric
DD,DuPont,Specialty Chemicals
EMN,Eastman Chemical Company,Specialty Chemicals
ETN,Eaton Corporation,Specialty Industrial Machinery
EBAY,eBay Inc.,Internet Retail
ECL,Ecolab,Specialty Chemicals
EIX,Edison International,Utilities - Regulated Electric
EW,Edwards Lifesciences,Medical Devices
EA,Electronic Arts,Electronic Gaming & Multimedia
ELV,Elevance Health,Healthcare Plans
EMR,Emerson Electric,Specialty Industrial Machinery
ENPH,Enphase Energy,Solar
ETR,Entergy,Utilities - Regulated Electric
EOG,EOG Resources,Oil & Gas E&P
EPAM,EPAM Systems,Information Technology Services
EQT,EQT Corporation,Oil & Gas E&P
EFX,Equifax,Consulting Services
EQIX,Equinix,REIT - Specialty
EQR,Equity Residential,REIT - Residential
ERIE,Erie Indemnity,Insurance Brokers
ESS,Essex Property Trust,REIT - Residential
EL,Estée Lauder Companies (The),Household & Personal Products
EG,Everest Group,Insurance - Reinsurance
EVRG,Evergy,Utilities - Regulated Electric
ES,Eversource Energy,Utilities - Regulated Electric
EXC,Exelon,Utilities - Regulated Electric
EXE,Expand Energy,Oil & Gas E&P
EXPE,Expedia Group,Travel Services
EXPD,Expeditors International,Integrated Freight & Logistics
EXR,Extra Space Storage,REIT - Industrial
XOM,ExxonMobil,Oil & Gas Integrated
FFIV,"F5, Inc.",Software - Infrastructure
FDS,FactSet,Financial Data & Stock Exchanges
FICO,Fair Isaac,Software - Application
FAST,Fastenal,Industrial Distribution
FRT,Federal Realty Investment Trust,REIT - Retail
FDX,FedEx,Integrated Freight & Logistics
FIS,Fidelity National Information Services,Information Technology Services
FITB,Fifth Third Bancorp,Banks - Regional
FSLR,First Solar,Solar
FE,FirstEnergy,Utilities - Regulated Electric
FI,Fiserv,Information Technology Services
F,Ford Motor Company,Auto Manufacturers
FTNT,Fortinet,Software - Infrastructure
FTV,Fortive,Scientific & Technical Instruments
FOXA,Fox Corporation (Class A),Entertainment
FOX,Fox Corporation (Class B),Entertainment
BEN,Franklin Resources,Asset Management
FCX,Freeport-McMoRan,Copper
GRMN,Garmin,Scientific & Technical Instruments
IT,Gartner,Information Technology Services
GE,GE Aerospace,Aerospace & Defense
GEHC,GE HealthCare,Health Information Services
GEV,GE Vernova,Specialty Industrial Machinery
GEN,Gen Digital,Software - Infrastructure
GNRC,Generac,Specialty Industrial Machinery
GD,General Dynamics,Aerospace & Defense
GIS,General Mills,Packaged Foods
GM,General Motors,Auto Manufacturers
GPC,Genuine Parts Company,Auto Parts
GILD,Gilead Sciences,Drug Manufacturers - General
GPN,Global Payments,Specialty Business Services
GL,Globe Life,Insurance - Life
GDDY,GoDaddy,Software - Infrastructure
GS,Goldman Sachs,Capital Markets
HAL,Halliburton,Oil & Gas Equipment & Services
HIG,Hartford (The),Insurance - Property & Casualty
HAS,Hasbro,Leisure
HCA,HCA Healthcare,Medical Care Facilities
DOC,Healthpeak Properties,REIT - Healthcare Facilities
HSIC,Henry Schein,Medical Distribution
HSY,Hershey Company (The),Confectioners
HES,Hess Corporation,Oil & Gas E&P
HPE,Hewlett Packard Enterprise,Communication Equipment
HLT,Hilton Worldwide,Lodging
HOLX,Hologic,Medical Instruments & Supplies
HD,Home Depot (The),Home Improvement Retail
HON,Honeywell,Conglomerates
HRL,Hormel Foods,Packaged Foods
HST,Host Hotels & Resorts,REIT - Hotel & Motel
HWM,Howmet Aerospace,Aerospace & Defense
HPQ,HP Inc.,Computer Hardware
HUBB,Hubbell Incorporated,Electrical Equipment & Parts
HUM,Humana,Healthcare Plans
HBAN,Huntington Bancshares,Banks - Regional
HII,Huntington Ingalls Industries,Aerospace & Defense
IBM,IBM,Information Technology Services
IEX,IDEX Corporation,Specialty Industrial Machinery
IDXX,Idexx Laboratories,Diagnostics & Research
ITW,Illinois Tool Works,Specialty Industrial Machinery
INCY,Incyte,Biotechnology
IR,Ingersoll Rand,Specialty Industrial Machinery
PODD,Insulet Corporation,Medical Devices
INTC,Intel,Semiconductors
ICE,Intercontinental Exchange,Financial Data & Stock Exchanges
IFF,International Flavors & Fragrances,Specialty Chemicals
IP,International Paper,Packaging & Containers
IPG,Interpublic Group of Companies (The),Advertising Agencies
INTU,Intuit,Software - Application
ISRG,Intuitive Surgical,Medical Instruments & Supplies
IVZ,Invesco,Asset Management
INVH,Invitation Homes,REIT - Residential
IQV,IQVIA,Diagnostics & Research
IRM,Iron Mountain,REIT - Specialty
JBHT,J.B. Hunt,Integrated Freight & Logistics
JBL,Jabil,Electronic Components
JKHY,Jack Henry & Associates,Information Technology Services
J,Jacobs Solutions,Engineering & Construction
JNJ,Johnson & Johnson,Drug Manufacturers - General
JCI,Johnson Controls,Building Products & Equipment
JPM,JPMorgan Chase,Banks - Diversified
JNPR,Juniper Networks,Communication Equipment
K,Kellanova,Packaged Foods
KVUE,Kenvue,Household & Personal Products
KDP,Keurig Dr Pepper,Beverages - Non-Alcoholic
KEY,KeyCorp,Banks - Regional
KEYS,Keysight Technologies,Scientific & Technical Instruments
KMB,Kimberly-Clark,Household & Personal Products
KIM,Kimco Realty,REIT - Retail
KMI,Kinder Morgan,Oil & Gas Midstream
KKR,KKR & Co.,Asset Management
KLAC,KLA Corporation,Semiconductor Equipment & Materials
KHC,Kraft Heinz,Packaged Foods
KR,Kroger,Grocery Stores
LHX,L3Harris,Aerospace & Defense
LH,Labcorp,Diagnostics & Research
LRCX,Lam Research,Semiconductor Equipment & Materials
LW,Lamb Weston,Packaged Foods
LVS,Las Vegas Sands,Resorts & Casinos
LDOS,Leidos,Information Technology Services
LEN,Lennar,Residential Construction
LII,Lennox International,Building Products & Equipment
LLY,Lilly (Eli),Drug Manufacturers - General
LIN,Linde plc,Specialty Chemicals
LYV,Live Nation Entertainment,Entertainment
LKQ,LKQ Corporation,Auto Parts
LMT,Lockheed Martin,Aerospace & Defense
L,Loews Corporation,Insurance - Property & Casualty
LOW,Lowe's,Home Improvement Retail
LULU,Lululemon Athletica,Apparel Retail
LYB,LyondellBasell,Specialty Chemicals
MTB,M&T Bank,Banks - Regional
MPC,Marathon Petroleum,Oil & Gas Refining & Marketing
MKTX,MarketAxess,Capital Markets
MAR,Marriott International,Lodging
MMC,Marsh McLennan,Insurance Brokers
MLM,Martin Marietta Materials,Building Materials
MAS,Masco,Building Products & Equipment
MA,Mastercard,Credit Services
MTCH,Match Group,Internet Content & Information
MKC,McCormick & Company,Packaged Foods
MCD,McDonald's,Restaurants
MCK,McKesson Corporation,Medical Distribution
MDT,Medtronic,Medical Devices
MRK,Merck & Co.,Drug Manufacturers - General
META,Meta Platforms,Internet Content & Information
MET,MetLife,Insurance - Life
MTD,Mettler Toledo,Diagnostics & Research
MGM,MGM Resorts,Resorts & Casinos
MCHP,Microchip Technology,Semiconductors
MU,Micron Technology,Semiconductors
MSFT,Microsoft,Software - Infrastructure
MAA,Mid-America Apartment Communities,REIT - Residential
MRNA,Moderna,Biotechnology
MHK,Mohawk Industries,"Furnishings, Fixtures & Appliances"
MOH,Molina Healthcare,Healthcare Plans
TAP,Molson Coors Beverage Company,Beverages - Brewers
MDLZ,Mondelez International,Confectioners
MPWR,Monolithic Power Systems,Semiconductors
MNST,Monster Beverage,Beverages - Non-Alcoholic
MCO,Moody's Corporation,Financial Data & Stock Exchanges
MS,Morgan Stanley,Capital Markets
MOS,Mosaic Company (The),Agricultural Inputs
MSI,Motorola Solutions,Communication Equipment
MSCI,MSCI Inc.,Financial Data & Stock Exchanges
NDAQ,"Nasdaq, Inc.",Financial Data & Stock Exchanges
NTAP,NetApp,Computer Hardware
NFLX,Netflix,Entertainment
NEM,Newmont,Gold
NWSA,News Corp (Class A),Entertainment
NWS,News Corp (Class B),Entertainment
NEE,NextEra Energy,Utilities - Regulated Electric
NKE,"Nike, Inc.",Footwear & Accessories
NI,NiSource,Utilities - Regulated Gas
NDSN,Nordson Corporation,Specialty Industrial Machinery
NSC,Norfolk Southern,Railroads
NTRS,Northern Trust,Asset Management
NOC,Northrop Grumman,Aerospace & Defense
NCLH,Norwegian Cruise Line Holdings,Travel Services
NRG,NRG Energy,Utilities - Independent Power Producers
NUE,Nucor,Steel
NVDA,Nvidia,Semiconductors
NVR,"NVR, Inc.",Residential Construction
NXPI,NXP Semiconductors,Semiconductors
ORLY,O’Reilly Automotive,Auto Parts
OXY,Occidental Petroleum,Oil & Gas E&P
ODFL,Old Dominion,Trucking
OMC,Omnicom Group,Advertising Agencies
ON,ON Semiconductor,Semiconductors
OKE,Oneok,Oil & Gas Midstream
ORCL,Oracle Corporation,Software - Infrastructure
OTIS,Otis Worldwide,Specialty Industrial Machinery
PCAR,Paccar,Farm & Heavy Construction Machinery
PKG,Packaging Corporation of America,Packaging & Containers
PLTR,Palantir Technologies,Software - Infrastructure
PANW,Palo Alto Networks,Software - Infrastructure
PARA,Paramount Global,Entertainment
PH,Parker Hannifin,Specialty Industrial Machinery
PAYX,Paychex,Software - Application
PAYC,Paycom,Software - Application
PYPL,PayPal,Credit Services
PNR,Pentair,Specialty Industrial Machinery
PEP,PepsiCo,Beverages - Non-Alcoholic
PFE,Pfizer,Drug Manufacturers - General
PCG,PG&E Corporation,Utilities - Regulated Electric
PM,Philip Morris International,Tobacco
PSX,Phillips 66,Oil & Gas Refining & Marketing
PNW,Pinnacle West Capital,Utilities - Regulated Electric
PNC,PNC Financial Services,Banks - Regional
POOL,Pool Corporation,Industrial Distribution
PPG,PPG Industries,Specialty Chemicals
PPL,PPL Corporation,Utilities - Regulated Electric
PFG,Principal Financial Group,Asset Management
PG,Procter & Gamble,Household & Personal Products
PGR,Progressive Corporation,Insurance - Property & Casualty
PLD,Prologis,REIT - Industrial
PRU,Prudential Financial,Insurance - Life
PEG,Public Service Enterprise Group,Utilities - Regulated Electric
PTC,PTC Inc.,Software - Application
PSA,Public Storage,REIT - Industrial
PHM,PulteGroup,Residential Construction
PWR,Quanta Services,Engineering & Construction
QCOM,Qualcomm,Semiconductors
DGX,Quest Diagnostics,Diagnostics & Research
RL,Ralph Lauren Corporation,Apparel Manufacturing
RJF,Raymond James Financial,Asset Management
RTX,RTX Corporation,Aerospace & Defense
O,Realty Income,REIT - Retail
REG,Regency Centers,REIT - Retail
REGN,Regeneron Pharmaceuticals,Biotechnology
RF,Regions Financial Corporation,Banks - Regional
RSG,Republic Services,Waste Management
RMD,ResMed,Medical Instruments & Supplies
RVTY,Revvity,Diagnostics & Research
ROK,Rockwell Automation,Specialty Industrial Machinery
ROL,"Rollins, Inc.",Personal Services
ROP,Roper Technologies,Software - Application
ROST,Ross Stores,Apparel Retail
RCL,Royal Caribbean Group,Travel Services
SPGI,S&P Global,Financial Data & Stock Exchanges
CRM,Salesforce,Software - Application
SBAC,SBA Communications,REIT - Specialty
SLB,Schlumberger,Oil & Gas Equipment & Services
STX,Seagate Technology,Computer Hardware
SRE,Sempra,Utilities - Diversified
NOW,ServiceNow,Software - Application
SHW,Sherwin-Williams,Specialty Chemicals
SPG,Simon Property Group,REIT - Retail
SWKS,Skyworks Solutions,Semiconductors
SJM,J.M. Smucker Company (The),Packaged Foods
SW,Smurfit Westrock,Packaging & Containers
SNA,Snap-on,Tools & Accessories
SOLV,Solventum,Medical Instruments & Supplies
SO,Southern Company,Utilities - Regulated Electric
LUV,Southwest Airlines,Airlines
SWK,Stanley Black & Decker,Tools & Accessories
SBUX,Starbucks,Restaurants
STT,State Street Corporation,Asset Management
STLD,Steel Dynamics,Steel
STE,Steris,Medical Devices
SYK,Stryker Corporation,Medical Devices
SMCI,Supermicro,Computer Hardware
SYF,Synchrony Financial,Credit Services
SNPS,Synopsys,Software - Infrastructure
SYY,Sysco,Food Distribution
TMUS,T-Mobile US,Telecom Services
TROW,T. Rowe Price,Asset Management
TTWO,Take-Two Interactive,Electronic Gaming & Multimedia
TPR,"Tapestry, Inc.",Luxury Goods
TRGP,Targa Resources,Oil & Gas Midstream
TGT,Target Corporation,Discount Stores
TEL,TE Connectivity,Electronic Components
TDY,Teledyne Technologies,Scientific & Technical Instruments
TER,Teradyne,Semiconductor Equipment & Materials
TSLA,"Tesla, Inc.",Auto Manufacturers
TXN,Texas Instruments,Semiconductors
TPL,Texas Pacific Land Corporation,Oil & Gas E&P
TXT,Textron,Aerospace & Defense
TMO,Thermo Fisher Scientific,Diagnostics & Research
TJX,TJX Companies,Apparel Retail
TKO,TKO Group Holdings,Entertainment
TSCO,Tractor Supply,Specialty Retail
TT,Trane Technologies,Building Products & Equipment
TDG,TransDigm Group,Aerospace & Defense
TRV,Travelers Companies (The),Insurance - Property & Casualty
TRMB,Trimble Inc.,Scientific & Technical Instruments
TFC,Truist Financial,Banks - Regional
TYL,Tyler Technologies,Software - Application
TSN,Tyson Foods,Farm Products
USB,U.S. Bancorp,Banks - Regional
UBER,Uber,Software - Application
UDR,"UDR, Inc.",REIT - Residential
ULTA,Ulta Beauty,Specialty Retail
UNP,Union Pacific Corporation,Railroads
UAL,United Airlines Holdings,Airlines
UPS,United Parcel Service,Integrated Freight & Logistics
URI,United Rentals,Rental & Leasing Services
UNH,UnitedHealth Group,Healthcare Plans
UHS,Universal Health Services,Medical Care Facilities
VLO,Valero Energy,Oil & Gas Refining & Marketing
VTR,Ventas,REIT - Healthcare Facilities
VLTO,Veralto,Pollution & Treatment Controls
VRSN,Verisign,Software - Infrastructure
VRSK,Verisk Analytics,Consulting Services
VZ,Verizon,Telecom Services
VRTX,Vertex Pharmaceuticals,Biotechnology
VTRS,Viatris,Drug Manufacturers - Specialty & Generic
VICI,Vici Properties,REIT - Diversified
V,Visa Inc.,Credit Services
VST,Vistra Corp.,Utilities - Independent Power Producers
VMC,Vulcan Materials Company,Building Materials
WRB,W. R. Berkley Corporation,Insurance - Property & Casualty
GWW,W. W. Grainger,Industrial Distribution
WAB,Wabtec,Railroads
WBA,Walgreens Boots Alliance,Pharmaceutical Retailers
WMT,Walmart,Discount Stores
DIS,Walt Disney Company (The),Entertainment
WBD,Warner Bros. Discovery,Entertainment
WM,Waste Management,Waste Management
WAT,Waters Corporation,Diagnostics & Research
WEC,WEC Energy Group,Utilities - Regulated Electric
WFC,Wells Fargo,Banks - Diversified
WELL,Welltower,REIT - Healthcare Facilities
WST,West Pharmaceutical Services,Medical Instruments & Supplies
WDC,Western Digital,Computer Hardware
WY,Weyerhaeuser,REIT - Specialty
WSM,"Williams-Sonoma, Inc.",Specialty Retail
WMB,Williams Companies,Oil & Gas Midstream
WTW,Willis Towers Watson,Insurance Brokers
WDAY,"Workday, Inc.",Software - Application
WYNN,Wynn Resorts,Resorts & Casinos
XEL,Xcel Energy,Utilities - Regulated Electric
XYL,Xylem Inc.,Specialty Industrial Machinery
YUM,Yum! Brands,Restaurants
ZBRA,Zebra Technologies,Communication Equipment
ZBH,Zimmer Biomet,Medical Devices
ZTS,Zoetis,Drug Manufacturers - Specialty & Generic
